5	2000
0006	0	3027
0006	0	1351
0006	0	3722
0006	0	1329
0006	0	3039
0006	0	0882
0006	0	2636
0006	0	2262
0006	0	2300
0006	0	5133
0006	0	5185
0006	0	2597
0006	0	3712
0006	0	2274
0006	0	3155
0006	0	4161
0006	0	3147
0006	0	5166
0006	0	3742
0006	0	5142
0006	0	3703
0006	0	3750
0006	0	5170
0006	0	1393
0006	0	4231
0006	0	4264
0006	0	4181
0006	0	3205
0006	0	2259
0006	0	0517
0006	0	3492
0006	0	3107
0006	0	3531
0006	0	5203
0006	0	4254
0006	0	3739
0006	0	3195
0006	0	2670
0006	0	2601
0006	0	0825
0006	0	0489
0006	0	2603
0006	0	2616
0006	0	2667
0006	0	2620
0006	0	4263
0006	0	0555
0006	0	4235
0006	0	0841
0006	0	1334
0006	0	3131
0006	0	0495
0006	0	0858
0006	0	3784
0006	0	2632
0006	0	3458
0006	0	4293
0006	0	0869
0006	0	4291
0006	0	3501
0006	0	5173
0006	0	3537
0006	0	3157
0006	0	0509
0006	0	2622
0006	0	3214
0006	0	2229
0006	0	3434
0006	0	5200
0006	0	2654
0006	0	2650
0006	0	5165
0006	0	0848
0006	0	0813
0006	0	0503
0006	0	5130
0006	0	3473
0006	0	3462
0006	0	3732
0006	0	4195
0006	0	3105
0006	0	1387
0006	0	2625
0006	0	0900
0006	0	0810
0006	0	3777
0006	0	2619
0006	0	2662
0006	0	3519
0006	0	3208
0006	0	3064
0006	0	2657
0006	0	2255
0006	0	4152
0006	0	0831
0006	0	2235
0006	0	3036
0006	0	2653
0006	0	2658
0006	0	2600
0006	0	5196
0006	0	0553
0006	0	3721
0006	0	2280
0006	0	3736
0006	0	0890
0006	0	3191
0006	0	3045
0006	0	1336
0006	0	3115
0006	0	4274
0006	0	3219
0006	0	5199
0006	0	1358
0006	0	2639
0006	0	3161
0006	0	0883
0006	0	2226
0006	0	4287
0006	0	2251
0006	0	4262
0006	0	1332
0006	0	2231
0006	0	3120
0006	0	1402
0006	0	3139
0006	0	0544
0006	0	0830
0006	0	4275
